store	date_open	date_close	cart	source	seat	place_checkout	order	orderdate	product	quantity	options	place_item	user	customer
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:40:07Z	2022-09-17T23:53:53Z	396bb5f4df7ef79cf4953a698f220750077e437f	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	07deb0f38874f4336e7638b203a9e610d6ac0fe8	2022-09-17T23:48:25Z	67c82b72ac9d52ec49a1f115dfa0aeff0f514989	1		7sa4clpol45ht	d7eoqutk113gc	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:52:41Z	2022-09-18T00:01:00Z	0dd0424ab1cb1561124169eeb867c2c75a639c83	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	0e4adf286d9ed0b5e02bb2e8b68f70238adca197	2022-09-17T23:52:55Z	dbab253c355ad6a49161388dc29ed92d5114f022	1		7sa4clpol45ht	1cb0nsb92i02	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:52:41Z	2022-09-18T00:01:00Z	0dd0424ab1cb1561124169eeb867c2c75a639c83	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	3828698143dad38f47d10a016f0e91d768683d56	2022-09-17T23:54:21Z	dbab253c355ad6a49161388dc29ed92d5114f022	1		7sa4clpol45ht	1cb0nsb92i02	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:55:45Z	2022-09-18T00:03:15Z	f7c75bb0c925dbdeb7270ddfa03a907d9fdd4aed	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	a1ba1e0a4f4dfa0549f5372acaf982c5cc49eeb7	2022-09-17T23:58:34Z	dbab253c355ad6a49161388dc29ed92d5114f022	1		7sa4clpol45ht	89bmmbm9pruiu	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:55:45Z	2022-09-18T00:03:15Z	f7c75bb0c925dbdeb7270ddfa03a907d9fdd4aed	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	a1ba1e0a4f4dfa0549f5372acaf982c5cc49eeb7	2022-09-17T23:58:34Z	d9b71425d9a774f888abd766d9e75a1d50f8bd56	1		7sa4clpol45ht	89bmmbm9pruiu	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:08:28Z	2022-09-18T00:08:40Z	cbd434e57f5e6ca48774d8c5d8aaa311853792e4	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	edd157c57b433e80f77e9d9044adea36b3ccf214	2022-09-18T00:08:30Z	6dc87e839fde617cc9898fd236b6318ba8234dca	1		7sa4clpol45ht	bp374nujbde75	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:01:12Z	2022-09-18T00:08:40Z	2dc25ba52554afb96e56147202fc6f607c19a107	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	1ac61ef1b03c4a5f3de5e62de068e05751979809	2022-09-18T00:01:41Z	73ee023a155e91ea922db49fc2fd2c9e44d7786f	1		7sa4clpol45ht	89bmmbm9pruiu	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:01:12Z	2022-09-18T00:08:40Z	2dc25ba52554afb96e56147202fc6f607c19a107	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	d45671b05707b333f3349a43a5f1ba80386e0049	2022-09-18T00:01:34Z	18c6e27665389d81235de9c1aa6d43b689a9e1b1	1			89bmmbm9pruiu	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:04:28Z	2022-09-18T00:09:39Z	9998ee68c7214b16b6ddb0a9649754ddc55b0ab8	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	5219c6aecca72a296f0cd5af0a99a1daea28a6ac	2022-09-18T00:04:44Z	dbab253c355ad6a49161388dc29ed92d5114f022	2		7sa4clpol45ht	1cb0nsb92i02	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:02:04Z	2022-09-18T00:09:55Z	37c8bd3a8da31fc31f636a8b5102941aa1f83236	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	2c359af7c816e4c0bab23168a512de5f7ee1dee7	2022-09-18T00:02:13Z	dbab253c355ad6a49161388dc29ed92d5114f022	1		7sa4clpol45ht	1cb0nsb92i02	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:08:34Z	2022-09-18T00:11:18Z	6727843a5ff43dc77185342d7a86d88d83bbca7c	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	2fc3abd92cac3a81ffe4030048b613915a3a7e9f	2022-09-18T00:08:37Z	0ec6900beb4dfe0f7a50e11bb91b22516bc562e2	1		7sa4clpol45ht	d7eoqutk113gc	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T23:59:01Z	2022-09-18T00:11:39Z	b49dab30350fe91e0a1843f22881ba31be23212c	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	f48b485dcf69e48b488e9270ab9df0600b0aab3f	2022-09-17T23:59:06Z	5a59459c778cc7ed48e02fdfe2500d3444a1eeb9	5		7sa4clpol45ht	8jqglfee4udbr	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:13:43Z	2022-09-18T00:17:49Z	961de35b2a14c7aed2ad58f2f7a47aa7768ec1e7	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	908fc3c3cef215d568d9233fe16c6db866314de5	2022-09-18T00:13:45Z	b5f32314a60867a5f73a59b88fa58fa4c96645e7	1		7sa4clpol45ht	bp374nujbde75	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:13:43Z	2022-09-18T00:17:49Z	961de35b2a14c7aed2ad58f2f7a47aa7768ec1e7	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	384b2bff57dd356f000fca191343c38ff1b8596b	2022-09-18T00:16:42Z	0c4d24b8b70eb0203af2162e7acd495d6aa51059	-1		5b80irjqgbmmp	d88vg1kbus1uj	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:13:43Z	2022-09-18T00:17:49Z	52bb019b08343f74513a46eaacbe77d0a626bf4f	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	cd45a5dc17511da52fde497aa081a51b45e1f26c	2022-09-18T00:15:49Z	0c4d24b8b70eb0203af2162e7acd495d6aa51059	1		5b80irjqgbmmp	d88vg1kbus1uj	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:13:43Z	2022-09-18T00:17:49Z	52bb019b08343f74513a46eaacbe77d0a626bf4f	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	b65c5a559723075cd4458e74fa08a605ee429f81	2022-09-18T00:13:45Z	b5f32314a60867a5f73a59b88fa58fa4c96645e7	1		7sa4clpol45ht	bp374nujbde75	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:13:43Z	2022-09-18T00:17:49Z	52bb019b08343f74513a46eaacbe77d0a626bf4f	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	cd45a5dc17511da52fde497aa081a51b45e1f26c	2022-09-18T00:16:42Z	0c4d24b8b70eb0203af2162e7acd495d6aa51059	-1		5b80irjqgbmmp	d88vg1kbus1uj	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:07:30Z	2022-09-18T00:18:31Z	b93146d77b4671aa6beb261491970a2f23dd0917	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	d89f9a74bc8a95f8ead1509253a278ddb94f5d92	2022-09-18T00:07:58Z	00cb6e82406b0a456c52766285d748c2e7a8b21d	1		7sa4clpol45ht	d7eoqutk113gc	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-18T00:22:10Z	2022-09-18T00:24:15Z	b46a1c6789946d14feffd8709b845e0736403490	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	c10f73dcae93c10d1d7d65592e0ce81d06ebf258	2022-09-18T00:22:14Z	af2c84c08ba9b158fc709b9e4b3b8f229edf80f4	2		7sa4clpol45ht	1cb0nsb92i02	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T21:52:30Z	2022-09-18T00:24:47Z	4b6673349bfa10851cbf2c3da6b4a5b5f83768b8	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	98db74564174fcab1fb9ee4af36a9fa1fba24c55	2022-09-17T21:52:46Z	18c6e27665389d81235de9c1aa6d43b689a9e1b1	14			8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T21:52:30Z	2022-09-18T00:24:47Z	4b6673349bfa10851cbf2c3da6b4a5b5f83768b8	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	b6e180bab3d6e68c957927969c62e24c5d6c99eb	2022-09-17T21:52:47Z	5a59459c778cc7ed48e02fdfe2500d3444a1eeb9	12		7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T21:52:30Z	2022-09-18T00:24:47Z	4b6673349bfa10851cbf2c3da6b4a5b5f83768b8	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	55014d8a953f85e4d562c623cd1b93ef650c221c	2022-09-17T21:56:33Z	0ed1b9637b53e4b0c2e6b64e418cc0dfb90c301d	1		7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T21:52:30Z	2022-09-18T00:24:47Z	4b6673349bfa10851cbf2c3da6b4a5b5f83768b8	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	909d7226b353e5348cb9d01cd9cf8137e274b701	2022-09-17T21:56:03Z	0b3ec37d912be50a4bcf26a0a8bb106c6bbcf471	1	97667c8fa26f91f62ca02eb3848ab73a067fab0b	7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T21:52:30Z	2022-09-18T00:24:47Z	4b6673349bfa10851cbf2c3da6b4a5b5f83768b8	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	909d7226b353e5348cb9d01cd9cf8137e274b701	2022-09-17T21:56:03Z	f27e704e8672f54de1f07fa5edbc37f33c37ebcd	1	1637b6cbaab30c28f815e366b45065a9163ca0b7	7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-17T21:52:30Z	2022-09-18T00:24:47Z	4b6673349bfa10851cbf2c3da6b4a5b5f83768b8	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	909d7226b353e5348cb9d01cd9cf8137e274b701	2022-09-17T21:56:03Z	0b3ec37d912be50a4bcf26a0a8bb106c6bbcf471	1	b2e6a6425a592cce059f5df32f1fcb4bd89b8574	7sa4clpol45ht	8q0tccgu00t9o	
